,transaction_id,apartment_id,city,dong,addr_kr,exclusive_use_area,year_of_completion,transaction_year_month,transaction_date,floor,transaction_real_price
0,10923,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201601,1~10,3,52000
1,10924,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201601,1~10,10,58000
2,10927,1878,서울특별시,신당동,신당동 844 남산타운,114.88,2002,201601,1~10,11,91500
3,10928,1878,서울특별시,신당동,신당동 844 남산타운,114.88,2002,s,11~20,13,72000
4,10930,1878,서울특별시,신당동, ,84.88,2002,201601,11~20,6,68300
5,10934,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201601,11~20,18,57900
6,10937,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201601,11~20,1,57000
7,10946,1878,서울특별시,신당동,신당동 844 남산타운,114.88,2002,201601,11~20,3,64500
8,10949,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201601,11~20,2,52000
9,10953,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201601,11~20,4,54500
10,10958,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201601,21~31,14,56500
11,10959,1878,서울특별시,신당동,신당동 844 남산타운,114.88,2002,201601,21~31,5,71000
12,10961,1878,서울특별시,신당동,신당동 844 남산타운,114.88,2002,201601,21~31,2,64000
13,10964,1878,서울특별시,신당동,신당동 844 남산타운,59.94,2002,201601,21~31,11,48500
14,10969,1878,서울특별시,신당동,신당동 844 남산타운,59.94,2002,201601,21~31,5,44000
15,10999,1878,서울특별시,신당동,신당동 844 남산타운,114.88,2002,201602,1~10,18,60000
16,11007,1878,서울특별시,신당동,신당동 844 남산타운,59.94,2002,201602,1~10,5,45000
17,11009,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201602,11~20,13,56000
18,11011,1878,서울특별시,신당동,신당동 844 남산타운,59.94,2002,201602,11~20,2,42500
19,11015,1878,서울특별시,신당동,신당동 844 남산타운,114.88,2002,201602,11~20,4,70000
20,11017,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201602,11~20,13,60000
21,11021,1878,서울특별시,신당동,신당동 844 남산타운,59.94,2002,201602,21~29,5,43000
22,11027,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201602,21~29,15,57250
23,11031,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201602,21~29,8,63000
24,11032,1878,서울특별시,신당동,신당동 844 남산타운,114.88,2002,201602,21~29,7,64500
25,11035,1878,서울특별시,신당동,신당동 844 남산타운,114.88,2002,201602,21~29,18,68500
26,11036,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201602,21~29,11,55000
27,11077,1878,서울특별시,신당동,신당동 844 남산타운,114.88,2002,201603,1~10,14,70000
28,11098,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201603,11~20,2,52000
29,11099,1878,서울특별시,신당동,신당동 844 남산타운,59.94,2002,201603,11~20,4,45000
30,11107,1878,서울특별시,신당동,신당동 844 남산타운,59.94,2002,201603,11~20,11,48000
31,11108,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201603,21~31,11,59500
32,11114,1878,서울특별시,신당동,신당동 844 남산타운,114.88,2002,201603,21~31,12,76000
33,11115,1878,서울특별시,신당동,신당동 844 남산타운,114.88,2002,201603,21~31,5,67000
34,11117,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201603,21~31,13,55700
35,11118,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201603,21~31,6,57500
36,11177,1878,서울특별시,신당동,신당동 844 남산타운,59.94,2002,201604,1~10,14,46000
37,11179,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201604,1~10,17,60000
38,11183,1878,서울특별시,신당동,신당동 844 남산타운,114.88,2002,201604,1~10,10,73200
39,11189,1878,서울특별시,신당동,신당동 844 남산타운,114.88,2002,201604,1~10,13,70500
40,11190,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201604,1~10,8,53800
41,11196,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201604,1~10,15,71000
42,11197,1878,서울특별시,신당동,신당동 844 남산타운,59.94,2002,201604,1~10,5,44000
43,11203,1878,서울특별시,신당동,신당동 844 남산타운,59.94,2002,201604,1~10,17,46300
44,11204,1878,서울특별시,신당동,신당동 844 남산타운,59.94,2002,201604,1~10,1,42000
45,11205,1878,서울특별시,신당동,신당동 844 남산타운,59.94,2002,201604,1~10,16,47000
46,11206,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201604,1~10,2,52900
47,11207,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201604,1~10,15,57000
48,11213,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201604,11~20,3,57000
49,11214,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201604,11~20,6,58500
50,11220,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201604,11~20,11,55000
51,11226,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201604,11~20,14,58000
52,11227,1878,서울특별시,신당동,신당동 844 남산타운,59.94,2002,201604,11~20,6,45000
53,11234,1878,서울특별시,신당동,신당동 844 남산타운,114.88,2002,201604,21~30,7,64000
54,11235,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201604,21~30,17,65500
55,11236,1878,서울특별시,신당동,신당동 844 남산타운,59.94,2002,201604,21~30,12,46900
56,11237,1878,서울특별시,신당동,신당동 844 남산타운,114.88,2002,201604,21~30,2,64000
57,11238,1878,서울특별시,신당동,신당동 844 남산타운,114.88,2002,201604,21~30,11,69000
58,11241,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201604,21~30,2,53500
59,11245,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201604,21~30,1,53000
60,11252,1878,서울특별시,신당동,신당동 844 남산타운,59.94,2002,201604,21~30,5,44100
61,11253,1878,서울특별시,신당동,신당동 844 남산타운,114.88,2002,201604,21~30,10,64500
62,11254,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201604,21~30,11,59600
63,11255,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201604,21~30,4,59950
64,11262,1878,서울특별시,신당동,신당동 844 남산타운,114.88,2002,201604,21~30,5,64200
65,11263,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201604,21~30,11,71500
66,11267,1878,서울특별시,신당동,신당동 844 남산타운,59.94,2002,201604,21~30,7,44500
67,11268,1878,서울특별시,신당동,신당동 844 남산타운,59.94,2002,201604,21~30,12,47000
68,11323,1878,서울특별시,신당동,신당동 844 남산타운,114.88,2002,201605,1~10,7,75800
69,11325,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201605,1~10,1,52000
70,11326,1878,서울특별시,신당동,신당동 844 남산타운,114.88,2002,201605,1~10,14,75000
71,11329,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201605,1~10,4,54000
72,11338,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201605,11~20,4,57000
73,11342,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201605,11~20,16,58000
74,11345,1878,서울특별시,신당동,신당동 844 남산타운,84.88,2002,201605,11~20,17,60000
75,11347,1878,서울특별시,신당동,신당동 844 남산타운,59.94,2002,201605,11~20,10,48800
